Sno,Date,Country/Region,Province/State,Deaths,Region
612,03-04-2020,India,Rajasthan,0,India
613,03-04-2020,India,Tamil Nadu,1,India
614,03-04-2020,India,Telengana,7,India
615,03-04-2020,India,Uttarakhand,0,India
616,03-04-2020,India,Uttar Pradesh,2,India
617,03-04-2020,India,West Bengal,3,India
618,03-04-2020,India,Unassigned,0,India
619,04-04-2020,India,Andhra Pradesh,1,India
620,04-04-2020,India,Andaman and Nicobar Islands,0,India
621,04-04-2020,India,Arunachal Pradesh,0,India
622,04-04-2020,India,Assam,0,India
623,04-04-2020,India,Bihar,1,India
624,04-04-2020,India,Chandigarh,0,India
625,04-04-2020,India,Chhattisgarh,0,India
626,04-04-2020,India,Delhi,6,India
627,04-04-2020,India,Goa,0,India
628,04-04-2020,India,Gujarat,10,India
629,04-04-2020,India,Haryana,0,India
630,04-04-2020,India,Himachal Pradesh,1,India
631,04-04-2020,India,Jammu and Kashmir,2,India
